model,scenario,region,variable,item,unit,year,value
aglink,baseline,ame,impo,wht,1000 t,2030,96860.20935
aglink,baseline,ame,impo,wht,1000 t,2040,109258.3701
aglink,baseline,ame,land,crp,1000 ha,2000,207973.2503
aglink,baseline,ame,land,crp,1000 ha,2010,256032.3686
aglink,baseline,ame,land,crp,1000 ha,2020,302176.328
aglink,baseline,ame,land,crp,1000 ha,2030,315913.2899
aglink,baseline,ame,land,crp,1000 ha,2040,330785.0904
aglink,baseline,ame,land,for,1000 ha,2000,729404.5927
aglink,baseline,ame,land,for,1000 ha,2010,696846.3468
aglink,baseline,ame,land,for,1000 ha,2020,664670.9573
aglink,baseline,ame,land,for,1000 ha,2030,648959.4179
aglink,baseline,ame,land,for,1000 ha,2040,638486.1436
aglink,baseline,ame,land,grs,1000 ha,2000,1152409.175
aglink,baseline,ame,land,grs,1000 ha,2010,1155001.206
aglink,baseline,ame,land,grs,1000 ha,2020,1081919.16
aglink,baseline,ame,land,grs,1000 ha,2030,1081085.256
aglink,baseline,ame,land,grs,1000 ha,2040,1081736.729
aglink,baseline,ame,land,nld,1000 ha,2000,1434491.083
aglink,baseline,ame,land,nld,1000 ha,2010,1431071.984
aglink,baseline,ame,land,nld,1000 ha,2020,1489554.964
aglink,baseline,ame,land,nld,1000 ha,2030,1492354.584
aglink,baseline,ame,land,nld,1000 ha,2040,1487304.584
aglink,baseline,ame,nett,cgr,1000 t,2000,-27142.78051
aglink,baseline,ame,nett,cgr,1000 t,2010,-30483.20747
aglink,baseline,ame,nett,cgr,1000 t,2020,-53137.12215
aglink,baseline,ame,nett,cgr,1000 t,2030,-64877.15758
aglink,baseline,ame,nett,cgr,1000 t,2040,-75459.56259
aglink,baseline,ame,nett,nrm,1000 t,2000,-1086.824411
aglink,baseline,ame,nett,nrm,1000 t,2010,-2850.080379
aglink,baseline,ame,nett,nrm,1000 t,2020,-3784.211566
aglink,baseline,ame,nett,nrm,1000 t,2030,-5780.106099
aglink,baseline,ame,nett,nrm,1000 t,2040,-7240.173366
aglink,baseline,ame,nett,osd,1000 t,2000,-2582.715999
aglink,baseline,ame,nett,osd,1000 t,2010,-7240.451921
